"title","content","rating"
"Not Recommended.","Very small amount of uv glue that spills and then you have a high chance of air bubble as in my case. Now I will have a non removable bubble. Pls go for another product.","1.0"
"Pathetic - Horrible - Worst","Short and clear review (model OnePlus 7T Pro Mclaren) - product and it's related material seemed to be genuine and good - while following all it's instructions and video, the glass was fixed good enough *****BUT***** - The UV Glue came out from the edges, went into the phone's earpiece which got jamed - while keeping under the UV Light, the glue which had came out of the edges got converted into Solid state and got jammed on the side panel and curve edge of the screen - While removing the solid state of the glue which got jammed on the curve, it even removed a bit of black paint of my phone on the side panel right below alert slider (photo attached) which was Horrible - In the process of removing the solid state of glue, the screen glass also came out and it all got completely waste SO I ENDED UP LIKE THIS - jammed earpiece of the phone because of this glue - no glass on my phone screen because it got damaged while removing the solid glue which came out from the edges (after effect of the UV Light) - Phone's color was damaged because of this glue which got converted from the UV Light into solid state Conclusion: Please do not buy, glue will eventually come out and damage your phone color Which is 100% not acceptable AND check around the nearby mobile accessories shop where you'll find MATT finish screen guard fully transparent (no black frame borders) for OnePlus 7T Pro and also that will give your phone a premium look. But do not buy this one - or you'll regret later.","1.0"
"Satisfied Product....👍","One line Best Tempared glass.. No extra glue came out from side, top and bottom even though i covered 😅. Perfect fited in this... No single bubble, edges perfect.. This time thanks to Case u.. i brought set of two let's see how long it will stay then i will use 2nd one.. Value for money.....👍","5.0"
"Great glass for op7 pro but be careful while installing","While the quality of tempered glass is good the loca or liquid adhesive is less so you need be perfect and not waste any. Plus THIS IS VERY CRITICAL BECAUSE IT HAPPEND TO ME MAKE SURE COVER YOUR PHONE INCALL EAR PIECE BEFORE APPLYING THE TEMPERED GLASS AND BEFORE PUTTING THE ADHESIVE. THE LIQUID ADHESIVE WILL GET INTO THE EAR PIECE AND YOU WILL NOY BE ABLE TO HEAR ANYTHING FROM IT IF YOU DOJT COVER IT DURING INSTALLATION. WISH THEY PROVIDED SOME SORT OF TAPE TO COVER IT PROPERLY","5.0"
"Very messy installation","Didn't work for me. One plus 7 screen is very sleek. When I out the glue and then screen, got bubble and the glue was overflowing, messing up everything. Now the edges are getting gaps.","3.0"
"Bad product.","If the glue goes in speaker bymistake also. Which it usually goes as it comes out. Your speaker sound gets too low and you cannot remove it also by any means.","1.0"
"Worst than expected and broken while installing","Worst product you can offer for one plus 7 pro a high end phone with such a bad quality tempered glass not at all durable and broken while installing moreover no return policy. Didn't expected Amazon to sell product like this on there website. This product is not at all useful or worth any money. It better you don't install it on you phone as the risk of phone screen getting damage is more.","1.0"
"Amazing and innovative tempered with beautiful technology","Was bit confused should I go for this new gel n uv based tempered. Finally purchased it. The packing was like it is not tempered some big gaget. So many things uv lights, glue, n tempered. The best part is it is one of the rare tempered that is covering full screen of one plus 7 pro. Initially I found myself confused how to apply on phone but through YouTube I learnt and it was very easy. Glue spread itself and just needed to use uv light for 30 seconds n it was done. No special art or knowledge needed to apply on phone. Thanks will purchase one piece more.","5.0"
"Very poorly designed stuff","Absolutely wasteful product.... Large air bubbles deter use of the phone and it's fingerprint scanner post application. It doesn't cover the entire area if screen","1.0"
"Value for money..Great invention","After using for 1 month . It is very Easy to install and interesting I installed it on my own.not a single bubble in installation & I'm not professional in it It's absolutely good product go for it, it's value for money and very durable, Cristal clear, doesn't effect any functionality not even screen touch is affected....mobile touch sensitivity is as good as new","5.0"
"Not easy to install. Too much of precision is required. No directions for usage mentioned.","Not easy to install. Too much of precision is required. Zero directions of usage mentioned for uv gum and Ray's. Finally had to settle with non removable air bubbles, as it was no where mentioned that air bubbles also gets fixed, if UV Ray's fall on it. No precuations mentioned.","4.0"
"Great service.","Value for money , easy to install but , need concentration and focus. Otherwise , it will go wrong. Case U provides great service by replacing the broken tempered glass with a new one if there is any damage within 5-10 days or such","5.0"
"Good product provided you can make a perfect fit!","I was fixing it myself. Felt a little confused!!! The result is showing in the attached photo. Wish I could redo the fitting!!!! Is it possible or I'll be going for a new one to replace the one fitted. Still I have little confidence that I could make the 2nd one fit perfeclly. Could you suggest me something. I liked the product but installation is found to be a little cumbersome!","5.0"
"Utterly dissatisfied with zero value for Money","This is the first bad product that I brought from Amazon in all these years There is lot of hype for this product and good reviews which made me buy this but I am completely dissatisfied. It just broke within 2 weeks, surprisingly it never fall over anything. It has Very Very poor quality. I felt very bad that I paid 700 for this product and I can now confidently say that the tampered glass products available on road who charge you 100/ will work far better than this. I definitely don't recommend this to any others.","1.0"
"Poor fluid","While opening the adhesive fluid some plastic partical came out on the screen with liquid. Hence it was wastage . Can't expect such a brand is doing packing like this . And all money is lost . Now able to install .","1.0"
"Worst product ever","This is the worst screen guard I have ever seen or had for any mobile phone. It is very complicated to apply, requring you to first put a glue on the screen. I followed the instructions 100% as shown on the video, the problem is that unlike what you see on the video, once you put the glue on the center of the screen and align the guard over the screen, upon placing it on top of the glue, the guard keeps sliding up and down, after much effort I was able to stabalize it, but the glue did not spread as shown in the video and left so many air bubbles on the screen. The UV light stick did not help in drying out or getting the bubbles out. Don't waist your money, this product is not returnable.","1.0"
"Pathetic.... Or if there is any word lower than pathetic","This is a pathetic product and not user friendly....even an expert will find difficult to install.... The liquid glue is difficult to control and always leaves bubbles... Utter waste of money.... Would requests a refund... I bought twice thinking the first time I installed incorrectly.... But it's the same issue even after following all the instructions to the tee.... Storngly reccommend not to buy this overrated highly expensive dirt of a product....","1.0"
"costly - somewhat overpriced","The screen guard is fairly easy to apply if you follow the directions (see youtube videos for detailed instructions). I spilled some of the glue that came with it and now have a little bit of air bubble stuck at the bottom part. But the screen guard is of excellent quality. The fingerprint reader works just fine with this. Cost is a bit disapointing in my frank opinion, but when you're buying a phone worth ~ 50k, this is a good enough investment (this is the consolation that I give myself). P.S. The UV light works well with power banks also.","5.0"
"Good adhesion; Sturdy product; just not easy to apply","I received a broken glass but they replaced it very fast. Very nice of them. - The adhesion is really good - the parts inside the box are well organised and the packing is well done, presentation is well done - it's not easy to apply. the glue gets all over the phone (after applying the glass) and there are still bubbles on the screen even after trying it two times. I've written a review before and I was asked to remove it via a call from the manufacturer (they removed this product and re-released it, so my review is based on a previous generation). However, I'm not going to delete this one, and I'll stand by my review.","3.0"
"Pathetic Product","After installation touch of phone is working properly. Have to make extra effort every time to type or touch at right spot. Dissatisfied . Give my money back 😠😡","1.0"
"Tricky but works.","Okay, so you are here to buy a tempered for your curved one plus 7 pro, the curved screens are tricky ones. I had one note 9 and i bought tempered worth 900Rs which just went into waste because it didn't had enough glue on edges. Now when you've come here you see around 20 percent of 1 star rating and 50 percent of 5 star rating, you are confused now. I bet 15 percent of those 20 percent people messed up with something, some had installed it on a table precious to them and the glue doesn't come off and most obvious some complain about glue going in speaker grill. But, I am going to say this, if you are really carefull and you do not do any mistakes, this case is good to go. Maybe you can learn from those 20 percent and do not repeat their mistskes, like cover you speaker grill with a tape(use to outer tape of package an stick it on the grill, just the grill and the whole rest to the back of phone. Do not perform the procedure on a table where you don't want glue to fall. Do not perform it in direct sunlight, make sure your ultra voilet light is attached with power bank and it glows. Place all the glue in the center, placw the tempered using two holding sticker which comes in the box, let the glue goes everywhere, especially in the edges(that's what this tempered is different from regular ones, glue flows in the same shape how you put the tempered on, and it covers and do not keep any empty air bubble), clean the glue which comes out of the protector glass(i messed this one in the corner but it still is fine) and then thoroughly apply UV light till a minute or two. My screen work fine without any crack on tempered in one day of usage, I will update if something bad goes off. In conclusion, you can totally go with this screen protector just make sure to do it right.","5.0"
"It's Crap! Not worth the money!","i've been CaseU screen guards for a while with my phones. They are expensive than other alternatives but the quality is usually good. However, I recently purchased OnePlus 7T Pro which has a curved screen and ordered this guard. Let me tell you - the application process is a nightmare. You have to control the spread of glue very carefully otherwise the glue most certainly comes out from all edges and goes into the speaker and spoils it. I've managed to save the speaker. I watched the youtube tutorial and follow all the instructions to the T. They say don't apply pressure and let it do it's job, so I did and didn't try to apply pressure. The glue quickly spread across the screen and I used the UV lamp for about 20 minutes to stick it throughly. Eventually, after the fluid dried off, it left a few air bubbles in the middle of the screen. I thought they'd go with time but they didn't. But within 15 days only, the edges started getting weird looking air bubbles, that increased and started looking like crap. You can see the edges in the images. And this is only increasing. I was using the cover that comes with the phone, so I thought the edges are coming off may be due to that cover. So I removed it so it'd stop but didn't matter. The package comes with a few instructions to mail if there's any issue, which I did but they asked for images, that I shared and haven't got any response on that for over a week. They couldn't care less. I wouldn't spend about 700-800 bucks on this piece of crap if I were you.","1.0"
"Stop looking for anything else","This is handsdown the best screen protector for the price. It's super smooth. Installation is actually easy considering they give you everything you might need. U just have to be super patient. And the screen protector itself is very very thin. Can't comment on durability Just yet. Caution: wipe the overflowing liquid as soon as possible. It can be easily cleaned. And wait for the glue to get curated. Till it's not, the screen protector moves around a bit.","5.0"
"Best glass for oneplus 7 pro","This product is so good beacuse i also try another oneplus 7 pro tempered glass but another tempered glass is not work but this glass is so best and finger print reader is so good working and glass is also good and screen clearity is amazing beacuse this tempered glass is clear with no border line this thing is awesome and this tempered glass easily applied with no bubbles.this tempered is so good i am very happy.","5.0"
"Not Worth the Price and Pathetic Seller!!","This curved tempered glass is one of the many glasses I have tried for my latest mobile and also for other old mobiles. Though the price was on a little higher side, I wanted to try this and was happy after applying this on my mobile. Installation was easy and the glass sits good on the screen without any bubbles. I thought I made good choice buying this one and was happy for 3-4 days. The edges started developing gaps after 3-4 days. You can see the images attached. And after 2 weeks, when I was trying to change my mobile case and accidentally the tempered glass got lifted. Thats it, it wont sit back normally. There are so many bubbles left. Atleast the traditional tempered glass will not form bubbles like that after you remove and put it back. And the way how seller responds to you is really pathetic.","1.0"
"Toooo worst","Worst ever seen like this type of screen protector","1.0"
"Good product with slight high price","Good tempered glass finally my search is now end for my one pls 7pro screen protection and it adhere so nicely that ph doesn't loose it natural look or cause display distortion ......good product","5.0"
"Very worst experience from amazone and Case U","The product which I received is damaged one.  I have followed all the steps mentioned in the box,  but the UV glue is partially dried or it is not helping to stick the glass on the mobile screen and only few drops was coming out of tube.  I don't see a option for return or replace.  Very worst experience from amazone and Case U.","1.0"
"Perfect product for the best price.","Size is perfect and no black border strip . Most other tempered glasses have black border which covers the display. Also, the procedure of applying tempered glass using liquid adhesive and then clearing with UV light is better, it leaves no chance of bubbles which can be left in case of a normal tempered glass. Tried this tempered glass after using 2 different products, which not only left bubbles, but they weren't of proper size also.","5.0"
"Waste of Money.","It sticks to your screen based upon your luck. I don't advise to go for it. Inspite of following the instructions carefully the adhesive will not stick properly. Initially it might stick properly and later on you will get airgaps which will never go off. And when reported about this problem, no one cares about your complaint. I had sent them many messages but of no use. Pathetic Product & Service","1.0"
"Great product, but not easy to install","The product is great, as advertised nice clean and responsive and edge to edge cover but installation is not that easy, one small mistake and the tempered glass is unusable. I ruined mine :P Also they should provide something for the earpiece to cover it during installation as glue might get in there. Step X: Place your phone in horizontal surface after the cleaning procedure. Very important as glue should be at the center for the best results.","5.0"
"Excellent product recieved","Everything was nice ...adhesion installation packaging .. everything felt premium .. but yes one needs to be very careful when applying this as it can leave bubbles . If carefully done then nothing can beat this product.. Tip:1.  turn of fan and try to sit where there is no air around..2.  Squeeze the glue such that it forms a single large bubble and do not get spread","5.0"
"Fool","This product was good but install this Glass is too difficult first gays u have to aware about installing this becoz i have suffered so i want to make u aware that first clean and drop whole glue on the center of phone's screen then keep U glass slitly on upon and glue automatically will spread on the surface then leave it sometime and use uv light. Keep cleaning edge of glass wherever glue came. Or  u can go installation master who can install it. Thank you","5.0"
"IMPORTANT","IMPORTANT: pointing this out due to experience!! I have followed the instructions as given on the product. But the adhesive while applying got into the ear piece of the phone and completly destroyed the hearing. I had to get the device serviced and ear piece replaced which costed me quiet a lot. Thankfully it dint get into the display or else i should have spent 16k on the display itself. Its very  careless of the screenguard company to not advise this. Kindly think before you buy!","2.0"
"Disaster !","This product looks like really high quality and has all the stuff you need. But the problem really is that one has to have a particularly good skill in DIY for applying this thing. Spending this much money on something you hope to get right (in the first and only try you have) is really a terrible idea. Get it done in a nearby shop !","2.0"
"Worth more then the price, Superb Glass Quality, Highly recommend","Honestly i was expecting CASE-U Tempered glass to be a simple one as it is under Rs 700 while i was checking it out in Amazon so i bought 2 product for backup and even after receiving and checking the Tempered Glass before installation it wasn't that smooth. After Installing, to my SURPRISED its more then what i expected, the SCREEN is so SMOOTH and the touch RESPONSE is IMPRESSIVE, and the installation was so EASY too, even while playing PUBG for hours and hours there is no stickiness to the surface.. Am using Oneplus 7 Pro and i really recommend everyone to buy this product.","5.0"
"5 start for product","5 star for product... Seriously its best and premium temporary glass👍.. but installation is much harder.😣 And tutorial videos as not sufficient to handle bubble problem..... Good job case u team. I hope u understand customers problem.. they are not expert 😅","5.0"
"Good Product but not an easy installation","Installation is not easy. The glue is very messy. I was very careful while installing and followed the steps of installation very carefully. Fingerprint sensor as a result works fine. The glue however is now scraping off the edges leaving gaps. Pretty manageable till now. I hope it doesn't worsen.","5.0"
"Good","Very easy to install. There is no chance of breaking while installation. Some complain about the glue being spilling from the sides. This can be overcome by putting the phone on a balanced surface and applying the glue carefully. The laser light makes it dry very fast.","5.0"
"Installation failed","Its a very good quality tempered glass with good installation guide. Unfortunately I did a mistake in installing it and it failed. It actually happened while I applied the glue and placed the tempred glass there was one bubble in center and just to remove that bubble i moved my tempered glass and i got hell lot of bubbles.. oh Man..it failed. I am gonna buy it from outside and will ask him to apply.","5.0"
"very nice really best ever curve glass i used","very nice if you know how to install it this is the best temper glass for curve screen. I applied this on my OnePlus 7 pro and really great quality. Here negative review only from who don't no how to apply properly. if you know go for this 👍👍","5.0"
"Just a plastic sheet not glass","Waste of money don't buy this ,they are giving big build up like first you have to pre order and wait for this product ,they are saying it is 9h temper glass but it is not a glass it is just a plastic sheet","1.0"
"Damage Product","Fake product....plz do not purchase....third class quality.....delivered with damage and refuse to return..","1.0"
"Covers 99.99 % of your phone and looks good too","The product is awesome , but you need to be careful while install it and please do watch the installation video before installing it , but the uv glue is too slippery and you need to be quick to install or else the screen guard just slips away","5.0"
"Very Difficult Installation Process. Bubbles Visible!","Please do not buy this product as it still leaves bubbles in the glue which don't go away. Be careful with the glue as it can easily enter your microphone and earpiece thereby rendering your device damaged. Buyer Beware!","1.0"
"Worst screen guard to get","Don't make the mistake of buying this. Most of the reviews that you'll find are sponsored and can't be trusted. The glass itself had a oily look to it and the application is what makes it the worse. The glue will get into your speaker grill and lower the sound. Its just a gimmicky product. I'd suggest the Rhinoshield flex protector, though its a bit expensive but its worth it to protect a 50k phone.","1.0"
"Good product but a lil expensive","Great product. Sticks well enough. It a lil on the expensive end. Would have been better if it was priced a lil lower. Fingerprint works and touch works fine. Overall pretty good experience. Will share the review after a week.","5.0"
"Get somethin else. Stop selling it","Lousy product curved tempered never work Now tried and tested Will fall off on its own no matter how well you install it Get you phone laminated might be a bit expensive but at least it won't irritate you","1.0"
"NOT WORTH IT!!","The product packaging is really nice but product quality is really poor. I felt really bad. The glue was not enough and I used the same process which was given. The tempered didn't stick properly now I don't have any protection on my screen. I really wish to get another tempered but now it dosent show option.","1.0"
"Terrible protection","It's tereible at the job it's supposed to do. A fall from half a feet and that too on a semi soft surface breaks it in 3 places. That too within less than a week from buying. Good only in packaging and adhesion.😏","1.0"
"Really good","Product is good..but one needs to be careful while applying it. Only con is packaging includes only one tube of adhesive...other than this, great product","3.0"
"Terrible experience","I received the broken piece","1.0"
"Good screen guard","Installation is not as easy as for straight edged screen guards, but as far as the screen guards for curved screen go, this one was reasonably easy to install, as instructions were clear and understandable","5.0"
"Good product","Product is really good but you've to be really careful while applying this. There is a guiding strip which can create issue with the glue. Make sure to wipe extra glue from sides before using the UV light.","5.0"
"Good  product but with wrong product description","Product is as per description. Installed as per instruction given. As per product description it was mentioned Anti-Fingerprint .But unfortunately this is wrong. Screen gets finger impression.","3.0"
"Pretty good but complicated and messy application","It's the only full glue, edge to edge tempered glass available for OnePlus 7 pro. Its UV glue so the application is quite messy and you'll end up with air bubbles if not applied with caution. Get professional help at a store if not confident.","4.0"
"KEEP PATIENCE AND RESULTS WILL BE AWESOME","So guys I am using op7 pro and I never want to break that expensive display. So just keep patience while installing the UV glass and also follow instructions very carefully. Refer some guide videos if necessary. The glass will perfectly fit your phone and it's compatible with cases and back covers.","5.0"
"Really difficult to install","Impossible to keep the glue from entering the front speaker outlet. Removing this glue just ruined the installation and left a mark at the top of the screen. A simple tape to keep the glue out would've made sense but if you get the installation right, it's a good product","4.0"
"Quite easy installation...","Bought it for 1+ 7 pro... was a bit careless the first time; but then the second time I bought I was super careful and lo and behold Bob is your uncle! Besides, it comes with everything that you might need for the installation: UV glue, wet wipe, dry wipe, dust cleaning tapes and yes the UV light also! Loved it!","5.0"
"Worst fake company..","Worst quality tempered glass. Installation is easy but the adhesive left bubbles. When I contacted it's customer service of caseu he denied to replace on the basis that they dobnot cover replacement. Although on the package card which came it was clearly mentioned that 3 months warranty on antthing is there.","1.0"
"Worst experience ever on Amazon","Horrible product... Comes with a UV lamp which doesn't work.. I ended up pouring the entire glue on the screen and then realizing it... What's worse is that I cannot return the item or get a refund. This is very frustrating.. Not expected from Amazon. Highly disappointed... I've been scammed by them. They took all the money and now I have to throw away the entire package... Useless","1.0"
"Good Glass and UV Glue but Positioning Tools Absent!","The glue and UV curing process was simple and effective. However the glass application (positioning and securing) tools were completely absent!! Very negligent packaging. But once with great difficult I installed the glass, it is adhering properly with no noticeable flaws and is covering very close to edges.","2.0"
"Perfect protector for curved screens","Finally a tempered glass for the curved screens that actually works. The package comes with all necessary kit to install and a detailed guidance. Went through 2-3 youtube videos to see the do's and don'ts while installing uv glue protector.","5.0"
"Go for it without any doubt.","It looks fabulous after installation, its been a month and the adhesive is getting removed slowly from the edges but i think its because of wheather(temperature) Overall its the best case for one plus 7 pro please do not buy any other case from offline market since i already tried most of the products and they are very unsatisfying plus waste of money","4.0"
"Buy at your own risk, dont get fooled!","To be honest, the product is a big time fail. UV RAY device is not the one given in the video or in the product image, kindly purchase at your own risk. The price quoted is over rated, the product is not even worth 100-150rs. Total failure, request to the concerned people to make sure quality is not sacrificed.","1.0"
"Perfect fit, messy while applying","Had a very difficult time while installing Glue kept coming out While adjusting, glass kept sliding on screen which made corners to have air bubbles. I removed those bubbles by applying extra glue using thin plastic sheet as shown in product video But after applying it's just a perfect fit for curved screen of one plus 7 pro","5.0"
"Money well spent","This beautiful tempered glass not only makes your phone look beautiful but is easy to install. They come in brilliant packaging and almost all accessories for the same. It is priced well for all the accessories and quality. Money well spent","5.0"
"Great but could have been better","The case is a little tricky to install, you neet to make sure your speaker grills are protected as the glue might enter it. Wipe away all the glue from sides before applying the glue. The cover was perfect for a week, but recently im facing bubbles Beginning to emerge from the edges. The screen feel is fantastic and the fingerprint sensor works like a charm.","4.0"
"Beware align/assist stickers","Awesome tempered glass. And very innovative to install. But make sure you remove the assist/align stickers and clean up the extra fluid before UV burning it as it solidified and you won't know. The stickers won't come off if it sticks.","5.0"
"Not a great product for self installation.","Despite looking at the instructions and watching the video there was a bubble in the middle of the screen. Tried doing UV and waited for the bubble to disappear but that didn't happen. So had to remove the glass.","1.0"
"Terrible , glue went to the speaker, now speaker not functioning","Glue went to the speaker , now my new phones speaker not functioning , I bought this for protecting screen not for loosing speaker Terrible Atleast provide speaker protecting sticker as like other brands Or something to remove extra glue","1.0"
"Best UV tempered so far on Amazon","One of the best Tempered for Oneplus 7 Pro, there are many UV tempered on Amazon, but there quality and hardness alongwith ranbow tint can't be trusted. But this tempered from CaseU is way better than any. It's been 4 months, and I can't see any rainbow tints, also the glue hasn't gone off till date.","5.0"
"Excellent product","Excellent product. Only thing is take your time while installing. Great finish, great touch sensitivity and boarderless fit. Note: Please be careful while installing, glue may enter into the speakers.","5.0"
"Waste of money and no customer support","The installation depends on your luck else bubbles and spots. The liquid adhesive spoils the corners of the handset. And not to forget the customer care doesn’t exists. Better go for some other option available.","2.0"
"Applied perfectly on screen but came out within 8 days","After 8 days of use, glue came out from one place and slowly the whole glass came out, my money was wasted.","1.0"
"It's like durex Air(not even there) and provide protection also..😊","This is the best temperd glass for.one plus 7 pro..it contains glue and easy to implement by yourself also.. fingerprint sensor also super fast.. Its like durex Air..(not even there) and  it will provide protection also..","5.0"
"Adhesive slowly getting removed from corner","The adhesive that was applied is getting removed slowly from the top and bottom, that's the only issue with this. Rest was fine was really easy to install, all you have to do is follow the simple steps. And about the penetration, I don't think it will leave any residual after the  protector is removed.","3.0"
"CAUTION","Don't think of buying this product. It's very difficult to stick it. Please don't get cheated spending 800 rupees for a tempered glass is fine for a premium phone. Don't buy this one for 800. Buy a normal glass screen protector for around 300 to 400 if I breaks it's fine you can replace it.","1.0"
"Missing glue in the package.","Package has everything, except the glue..Useless purchase..Waste of money... Please check the package before shipping.","1.0"
"Worth the money","Crystal clear and good touch sensitivity. Nice product. Be careful to avoid any bubbles while installing, though. Worth the money....","5.0"
"Good product 👍","Best product at this price Tempered glass is great cover full screen edge to edge fingerprint and touch works great but the amount ofglue they provide is more than required my suggestion will be to use half of the glue provided otherwise you will be wiping it from earpiece speaker but product is nice","5.0"
"Perfect fit","The fit is perfect and the product too.. You need to ensure that the speaker is covered while applying. Follow the instructions properly and it should be good to apply.","5.0"
"Best one in market out there","Best product ever used . Amazing product .if u want tempered glass for one plus 7 pro then u can surely go for it I tried many other protectors before this one but their quality was very poor but this one is the best . And easy to install.thank you case u for this amazing item .","5.0"
"Best tempered glass for One plus7 pro","Product is best, few days earlier I purchased tempered glass of another company within 3 days adhesive weakened but for Case U about 30 days use no problem and feels like original glass of your phone. Really best product in my opinion","5.0"
"Absolutely pathetic","Worst tempered glass ever!! Some brand writing and spots appearing in red under the glass after 3 months and was a nightmare to install. Wouldn't ever recommend","1.0"
"Very difficult to install","We bought 2 of these tempered glass for 2 phones. We used the whole glue as per the instructions but while putting the glass on it got out of it and stuck on the phone sides. Then we installed the 2nd glass with half of the glue and we're successful but still got 1-2 bubble in it.","3.0"
"Waste of money","Waste of money. It's glue not fixed when glass fixed on it. Pls see picture uploaded. And uv light just a children's toy","1.0"
"Superb quality of glass, loved it valuable product 😊","As I am very care taking person for mobile I was looking for tempered glass then I got case u brand first I ordered for OnePlus 5 in 2017 from then I am regular customer of case u brand now few days ago I also ordered for OnePlus 6 and OnePlus 7 pro and  I am really satisfied easy to install premium quality no bubbles issue .....fab product 😍😍","5.0"
"Perfect as compare to others..!","It was a very good product, i have tried so many tempered glass but non of those worked well while Case u glass comes with glue ans UV light installed pwrfectly and touch sensitivity also good... Go on without hesitation....!","5.0"
"Wrong product","I had placed an order for One plus 7 pro tempered glass and received another glass. There is no return option. Totally waste of money. Don't buy it","1.0"
"Good quality tempered glass worth money","Adhesion is excellent Could able to fix without bubbles Easier than fixing normal tempered adhesive tempered glass","5.0"
"Best in class and market","The best glass I have ever used till date. Zero bubble but needs experience to apply.  I am very happy with the purchase.","5.0"
"Paisa wasool product","Application is little tricky but u know how to apply after watching videos on youtube .. cover the earpiece speaker from a tape.. the touch response is buttery smooth and the uv adhesive is very good no air gap and bubbles .. this is the only tempered glass that i like for 7pro","5.0"
"BEST QUALITY TEMPERED GLASS FOR ONEPLUS 7 PRO","Good quality Tempered glass for OnePlus 7 pro, scratch resistant there, fully fit on phone. Really liked it after using installation kit, which was available with package.","5.0"
"Gr8 screen guard, didn't even notice its there.","Gr8 screen guard, didn't even notice its there. Put tape over top speaker grill and immediately wipe extra glue off before uv. Bit expensive though.","5.0"
"I need refund for this product","I followed instructions given on the box. When I placed the glass on top and applied uv light , there were some bubbles left which were no going no matter how hard I tried. When I removed the glass cover, the glass was ruined, bubbles left permanent mark on it. I have attached photos of the mark","1.0"
"Packaging good. Tried to copy whitestone dome.","Cheap ripoff of whitestone dome glass. But does the job. Adhesion will last. No negatives till now. Been using fora alomost 2 months","4.0"
"Best buy for your one plus 7 pro !!","Purchased this tempered glass for my new mobile taking in mind that it will not fit properly as previous experience on other Mobiles. But surprised to see that it perfectly fits on curved edges and also easiest to install.","5.0"
